,season,episode,rating,Michael,Dwight,Jim,Pam,Andy,Kevin,Angela,Oscar,Erin,Ryan,Darryl,Phyllis,Kelly,Jan,Toby,Stanley,Meredith,Nellie,Creed,Gabe,Roy
119,7.0,3.0,8.2,43.0,17.0,19.0,17.0,49.0,,16.0,1.0,19.0,,11.0,4.0,2.0,,,2.0,1.0,,2.0,,
120,7.0,4.0,7.9,88.0,41.0,4.0,8.0,40.0,10.0,2.0,7.0,4.0,1.0,8.0,5.0,5.0,16.0,,4.0,7.0,,2.0,3.0,
121,7.0,5.0,7.8,85.0,56.0,59.0,10.0,38.0,12.0,2.0,16.0,2.0,3.0,23.0,8.0,3.0,,,5.0,15.0,,2.0,,
122,7.0,6.0,8.2,59.0,14.0,27.0,24.0,16.0,19.0,5.0,8.0,7.0,6.0,26.0,5.0,5.0,,4.0,7.0,1.0,,3.0,14.0,
123,7.0,7.0,7.4,74.0,16.0,38.0,33.0,25.0,4.0,8.0,2.0,9.0,6.0,2.0,5.0,2.0,,3.0,3.0,,,,2.0,
124,7.0,8.0,7.8,56.0,26.0,18.0,23.0,27.0,9.0,9.0,7.0,42.0,3.0,,12.0,13.0,,,1.0,,,4.0,18.0,
125,7.0,9.0,7.7,66.0,24.0,24.0,28.0,10.0,9.0,20.0,5.0,7.0,54.0,,1.0,5.0,,,7.0,,,3.0,8.0,
126,7.0,10.0,8.2,56.0,48.0,27.0,45.0,23.0,8.0,3.0,25.0,10.0,7.0,13.0,3.0,8.0,,,6.0,2.0,,2.0,1.0,
127,7.0,11.0,9.0,130.0,38.0,50.0,69.0,28.0,15.0,26.0,12.0,18.0,11.0,23.0,13.0,14.0,,25.0,5.0,10.0,,4.0,6.0,
128,7.0,12.0,8.3,75.0,34.0,8.0,31.0,21.0,19.0,7.0,3.0,21.0,6.0,21.0,9.0,10.0,,,,1.0,,13.0,2.0,
129,7.0,13.0,7.7,37.0,19.0,24.0,18.0,51.0,9.0,,14.0,25.0,8.0,3.0,3.0,12.0,,,2.0,,,2.0,7.0,
130,7.0,14.0,8.5,42.0,26.0,32.0,36.0,14.0,7.0,1.0,12.0,14.0,6.0,8.0,10.0,9.0,,,3.0,3.0,,,25.0,
131,7.0,15.0,8.4,73.0,24.0,23.0,24.0,37.0,13.0,9.0,17.0,38.0,6.0,16.0,3.0,1.0,,,1.0,1.0,,1.0,21.0,
132,7.0,16.0,9.4,33.0,3.0,6.0,4.0,2.0,2.0,,,1.0,1.0,,,1.0,1.0,,,,,1.0,,
133,7.0,17.0,7.5,57.0,41.0,38.0,36.0,29.0,13.0,1.0,1.0,10.0,4.0,,1.0,3.0,,,1.0,3.0,,,1.0,
134,7.0,18.0,9.3,72.0,31.0,24.0,32.0,17.0,18.0,1.0,7.0,,9.0,10.0,3.0,3.0,,,1.0,3.0,,,1.0,
